RKDN=4.96e-05   RKDX=5.87e-04   TENTR=1.02e-05   TENTRX=5.82e-05   VVX=-3.25e+01   RAUTEFR=2.06e-03   RAUTEFS=3.50e-03   RQICRMIN=1.10e-07   RQICRMAX=1.06e-05   RQLCR=1.47e-04   TFVI=1.04e-01   TFVL=7.01e-02   RACCEF=1.13e+00   RRIMEF=9.91e-01   RAGGEF=2.88e-01   REVASX=1.05e-07   RREVASXCS=5.95e-01   RSWINHF_LIQ=6.46e-01   RSWINHF_ICE=8.64e-01   RLWINHF_LIQ=5.84e-01   RLWINHF_ICE=6.03e-01   
RKDN=2.00e-05   RKDX=1.80e-04   TENTR=1.86e-05   TENTRX=1.08e-04   VVX=-4.71e+01   RAUTEFR=1.70e-03   RAUTEFS=1.52e-03   RQICRMIN=1.03e-07   RQICRMAX=3.07e-05   RQLCR=7.79e-04   TFVI=1.38e-01   TFVL=1.93e-01   RACCEF=1.30e+00   RRIMEF=7.52e-01   RAGGEF=3.43e-01   REVASX=8.13e-08   RREVASXCS=2.36e-02   RSWINHF_LIQ=6.55e-01   RSWINHF_ICE=7.92e-01   RLWINHF_LIQ=5.02e-01   RLWINHF_ICE=7.81e-01   
RKDN=2.84e-05   RKDX=1.38e-04   TENTR=1.79e-05   TENTRX=7.09e-05   VVX=-4.89e+01   RAUTEFR=3.84e-03   RAUTEFS=3.79e-03   RQICRMIN=2.01e-07   RQICRMAX=2.26e-05   RQLCR=8.39e-04   TFVI=8.08e-02   TFVL=1.53e-01   RACCEF=5.70e-01   RRIMEF=1.23e+00   RAGGEF=1.68e-01   REVASX=5.81e-07   RREVASXCS=8.23e-01   RSWINHF_LIQ=6.97e-01   RSWINHF_ICE=8.02e-01   RLWINHF_LIQ=9.40e-01   RLWINHF_ICE=9.53e-01   
RKDN=3.79e-05   RKDX=1.63e-04   TENTR=1.66e-05   TENTRX=1.10e-04   VVX=-4.45e+01   RAUTEFR=4.81e-03   RAUTEFS=2.21e-03   RQICRMIN=9.70e-08   RQICRMAX=1.98e-05   RQLCR=5.74e-05   TFVI=2.88e-02   TFVL=9.59e-03   RACCEF=1.46e+00   RRIMEF=6.12e-01   RAGGEF=8.08e-01   REVASX=3.37e-07   RREVASXCS=2.23e-01   RSWINHF_LIQ=7.45e-01   RSWINHF_ICE=6.33e-01   RLWINHF_LIQ=9.27e-01   RLWINHF_ICE=6.72e-01   
RKDN=3.60e-05   RKDX=7.87e-04   TENTR=4.53e-06   TENTRX=5.63e-05   VVX=-3.81e+01   RAUTEFR=1.95e-03   RAUTEFS=4.94e-03   RQICRMIN=6.85e-08   RQICRMAX=2.92e-05   RQLCR=7.36e-04   TFVI=4.20e-02   TFVL=1.70e-01   RACCEF=1.41e+00   RRIMEF=1.58e+00   RAGGEF=5.96e-01   REVASX=4.37e-07   RREVASXCS=8.39e-01   RSWINHF_LIQ=8.07e-01   RSWINHF_ICE=7.83e-01   RLWINHF_LIQ=7.19e-01   RLWINHF_ICE=5.30e-01   
RKDN=2.42e-05   RKDX=3.11e-04   TENTR=1.41e-05   TENTRX=4.72e-05   VVX=-4.76e+01   RAUTEFR=4.22e-03   RAUTEFS=4.26e-03   RQICRMIN=1.79e-07   RQICRMAX=1.24e-05   RQLCR=6.40e-04   TFVI=1.05e-02   TFVL=7.55e-02   RACCEF=5.29e-01   RRIMEF=1.78e+00   RAGGEF=6.42e-01   REVASX=7.70e-07   RREVASXCS=2.40e-01   RSWINHF_LIQ=7.48e-01   RSWINHF_ICE=8.03e-01   RLWINHF_LIQ=8.65e-01   RLWINHF_ICE=5.20e-01   
RKDN=3.74e-05   RKDX=4.67e-04   TENTR=1.58e-05   TENTRX=5.29e-05   VVX=-3.12e+01   RAUTEFR=4.25e-03   RAUTEFS=1.13e-03   RQICRMIN=2.77e-07   RQICRMAX=2.79e-05   RQLCR=7.17e-04   TFVI=1.91e-01   TFVL=1.14e-01   RACCEF=6.09e-01   RRIMEF=1.30e+00   RAGGEF=1.27e+00   REVASX=9.82e-07   RREVASXCS=5.68e-01   RSWINHF_LIQ=7.32e-01   RSWINHF_ICE=8.37e-01   RLWINHF_LIQ=6.11e-01   RLWINHF_ICE=8.96e-01   
RKDN=2.53e-05   RKDX=8.36e-04   TENTR=4.28e-06   TENTRX=8.85e-05   VVX=-2.91e+01   RAUTEFR=5.81e-03   RAUTEFS=9.82e-04   RQICRMIN=2.22e-07   RQICRMAX=3.24e-05   RQLCR=2.01e-04   TFVI=7.94e-02   TFVL=1.63e-01   RACCEF=8.28e-01   RRIMEF=1.26e+00   RAGGEF=3.61e-01   REVASX=2.68e-07   RREVASXCS=8.51e-01   RSWINHF_LIQ=8.16e-01   RSWINHF_ICE=8.67e-01   RLWINHF_LIQ=6.46e-01   RLWINHF_ICE=8.83e-01   
RKDN=3.62e-05   RKDX=6.21e-04   TENTR=1.32e-05   TENTRX=9.15e-05   VVX=-4.94e+01   RAUTEFR=6.42e-04   RAUTEFS=3.85e-03   RQICRMIN=1.33e-08   RQICRMAX=2.03e-05   RQLCR=5.62e-04   TFVI=3.36e-02   TFVL=1.47e-01   RACCEF=8.90e-01   RRIMEF=1.12e+00   RAGGEF=1.21e+00   REVASX=9.07e-07   RREVASXCS=2.33e-01   RSWINHF_LIQ=6.40e-01   RSWINHF_ICE=5.09e-01   RLWINHF_LIQ=6.55e-01   RLWINHF_ICE=6.00e-01   
RKDN=4.72e-05   RKDX=7.30e-04   TENTR=1.72e-05   TENTRX=4.39e-05   VVX=-3.83e+01   RAUTEFR=1.90e-03   RAUTEFS=1.61e-03   RQICRMIN=1.99e-07   RQICRMAX=2.57e-05   RQLCR=4.28e-04   TFVI=9.98e-02   TFVL=7.89e-02   RACCEF=6.81e-01   RRIMEF=1.02e+00   RAGGEF=5.16e-01   REVASX=8.46e-07   RREVASXCS=3.90e-01   RSWINHF_LIQ=8.57e-01   RSWINHF_ICE=7.72e-01   RLWINHF_LIQ=5.86e-01   RLWINHF_ICE=6.63e-01   
