AKN 0.06 0.28 0.126 linear
ALPHAT 0.5 3 1.13 linear
ALD 0.5 3 1.18 linear
ALMAVE 0 30 10 linear
AGREF -0.5 -0.01 -0.36 linear
AGRE1 0 10 5.5 linear
AGRE2 0 10 0 linear
RAUTEFR 0.5e-3 10e-3 1e-3 linear
RQLCR 0.5e-4 10e-4 2e-4 linear
RAUTEFS 0.5e-3 10e-3 5.2e-3 linear
RQICRMIN 0.1e-5 0.1e-7 0.1e-6 log
RQICRMAX 0.05e-4 1e-4 0.21e-4 linear
TFVL 0.001 0.2 0.02 linear
TFVI 0.001 0.2 0.04 linear
TFVR 0.1 6 3 linear
TFVS 0.1 6 0.6 linear
RKDN 30e-6 70e-6 50e-6 linear
RKDX 80e-6 600e-6 100e-6 linear
TENTR 2e-6 10e-6 4e-6 linear
TENTRX 30e-6 120e-6 57e-6 linear
VVN -1 -5 -2 linear
VVX -25 -50 -35 linear
ALFX 0.01 0.1 0.04 linear
FNEBC 0 20 10 linear
GCTURB 1e-5 10e-5 5e-5 linear
RLWINHF_ICE 0.5 1.0 0.9 linear
RLWINHF_LIQ 0.5 1.0 0.9 linear
RSWINHF_ICE 0.5 1.0 0.71 linear
RSWINHF_LIQ 0.5 1.0 0.71 linear
REFLCAPE 0.2 10 2 linear
